Category,Property,SHELTR Token,ICO,,TOKEN LAUNCH - 33%,,TOKEN Release - 33%,,TOKEN Release - 33%,,SHELTR-S Stablecoin,Notes,Smart Contract Requirements
,,,Pre-Seed Round (Sep 2025),Value,Dec 2025,Market Cap,Dec 2026,Market Cap,Dec 2027,Market Cap,,,
Basic Specifications,Symbol,$SHELTR,,,,,,,,,SHELTR-S,Community governance vs stable utility,Different ERC-20 contracts
Basic Specifications,Type,Utility + Governance Token,,,,,,,,,USD-Pegged Stablecoin,Growth vs stability focus,Separate contract architectures
Basic Specifications,Network,Base (Coinbase L2),,,,,,,,,Base (Coinbase L2),Both on same network for efficiency,Same deployment network
Basic Specifications,Standard,ERC-20,,,,,,,,,ERC-20,Standard token implementations,OpenZeppelin base contracts
Basic Specifications,Total Supply (3 YR Release Schedule @ 33%),"100,000,000","3,000,000","$150,000","30,333,333.33","$1,516,667","33,333,333.33","2,183,333","33,333,333.33","4,850,000",Unlimited (Minted on demand),Fixed vs elastic supply,Supply control mechanisms
Basic Specifications,Initial Price,$0.10,,,$0.10,,$0.20,,$0.40,,$1.00 USD (Always),Market-driven vs pegged,Price stability mechanisms
Economic Model,Backing Mechanism,Utility + Network Effects,,,,,,,,,USDC Reserve Pool,Value from usage vs reserve,Reserve management contract
Economic Model,Price Stability,Market-driven with growth potential,,,,,,,,,100% stable ($1.00 USD),Growth vs stability trade-off,Stability oracle integration
Economic Model,Volatility Target,Growth-oriented,,,,,,,,,0% target,Investment vs protection,Risk management protocols
Economic Model,Deflationary Rate,2% annually,,,,,,,,,N/A (Stable),Burn mechanisms vs mint/burn,Deflationary contract logic
Economic Model,Staking Yield,8% APY target,,,,,,,,,N/A,Revenue sharing vs no yield,Staking reward distribution
Use Cases,Primary Purpose,Governance and community engagement,,,,,,,,,Daily transactions and essential needs,Different utility focuses,Separate access control logic
Use Cases,Target Users,"Donors, Organizations, Community members",,,,,,,,,"Participants, Merchants, Basic transactions",User role differentiation,Role-based permissions
Use Cases,Transaction Fees,2% platform fee,,,,,,,,,Zero fees for participants,Revenue model vs accessibility,Fee structure implementation
